t,observed,fitted,type
1,1978.0,2178.9799,history
2,1979.0,2161.401926,history
3,1980.0,2143.823952,history
4,1981.0,2126.245978,history
5,1982.0,2108.668004,history
6,1983.0,2091.09003,history
7,1984.0,2073.512056,history
8,1985.0,2055.934082,history
9,1986.0,2038.356108,history
10,1987.0,2020.778134,history
11,1988.0,2003.200161,history
12,1989.0,1985.622187,history
13,1990.0,1968.044213,history
14,1991.0,1950.466239,history
15,1992.0,1932.888265,history
16,1993.0,1915.310291,history
17,1994.0,1897.732317,history
18,1995.0,1880.154343,history
19,1996.0,1862.576369,history
20,1997.0,1844.998395,history
21,1998.0,1827.420421,history
22,1999.0,1809.842447,history
23,2000.0,1792.264473,history
24,2001.0,1774.686499,history
25,2002.0,1757.108525,history
26,2003.0,1739.530551,history
27,2004.0,1721.952577,history
28,2005.0,1704.374603,history
29,2006.0,1686.796629,history
30,2007.0,1669.218655,history
31,2008.0,1651.640682,history
32,2009.0,1634.062708,history
33,2010.0,1616.484734,history
34,1.201,1598.90676,history
35,2.201,1581.328786,history
49,,1335.23715,forecast
50,,1317.659176,forecast
51,,1300.081203,forecast
52,,1282.503229,forecast
53,,1264.925255,forecast
54,,1247.347281,forecast
55,,1229.769307,forecast
56,,1212.191333,forecast
57,,1194.613359,forecast
58,,1177.035385,forecast
59,,1159.457411,forecast
60,,1141.879437,forecast
